Chunk,Index
"Question IDDate Date of publication

2019_4489 21/05/2021

2018_4390 21/05/2021",14
"Question ID2019_4489

Status 2019_4489

Status Final Q&A

Legal act Regulation (EU) No 575/2013 (CRR)

Topic Credit risk

Article 150

Paragraph 1

Subparagraph c

COM Delegated or Not applicable

Implementing

Acts/RTS/ITS/GLs/Recom

mendations

Article/Paragraph Not applicable

Type of submitter Credit institution

Date of submission 28/01/2019

Published as final Q&A 21/05/2021

Subject matter Materiality threshold and calculation method for materiality ratio for the

purpose of application of Article 150(1)(c) for types of exposures that are

immaterial in terms of size and perceived risk profile

Question

A) Can you please clarify whether the 10%/5% threshold to define materiality

for “exposure classes” are valid also as for “types of exposures”? In case not,

can you please specify which thresholds should be considered for the

abovementioned purpose?

B) As for the materiality ratio to be compared against the thresholds can you

please clarify how it should be computed with reference to the following

points:

1. Should the numerator include only the exposures for which the application

for PPU is being sought under Article 150 (1) (c) by excluding exposures for

which PPU has already been granted pursuant other points of Art 150 (1)

1 of 6and exposures not to be included in the calculation of RWA for equity

exposure pursuant to Art. 155 (1) (i.e. Equity exposures risk weighted at

250% in accordance with Art. 48 (4) of Reg. EU 575/2013 and those

deducted from CET1 in accordance with Part Two of Reg. EU 575/2013)?

2. Should the ratio be computed only at solo level or both at solo and

consolidated level, in case an application is limited to only one Legal Entity

(LE) of a Large Group?

Background on the

Pursuant to Article 150(1)(c) a materiality test is required both for “exposure

question

classes” and “types of exposures”. However, Art. 150(2) defines the

materiality test only with reference to “exposure classes”. While an

interpretation of Article 150(2) in terms of “types of exposure” is missing.

Final answer

Regulation (EU) No 575/2013 (CRR) does not specify any quantitative

thresholds for determining the materiality of exposures under Article

150(1)(c).

The thresholds defined in Article 150(2) CRR are only applicable to equity

exposures at the exposure class level. The CRR does not specify any

threshold at the lower level of type of exposures, or for any other exposure

class.

For the calculation of the threshold according to Article 150(2) CRR, see

Q&A 4390.

Answer prepared by Answer prepared by the EBA.

Note to Q&A

Link https://www.eba.europa.eu/single-rule-book-qa/qna/view/publicId/2019_4489",15
"Question ID2018_4390

Status 2018_4390

Status Final Q&A

Legal act Regulation (EU) No 575/2013 (CRR)

Topic Credit risk

Article 150

Paragraph 2

Subparagraph

COM Delegated or Not applicable

Implementing

Acts/RTS/ITS/GLs/Recom

mendations

Article/Paragraph na

2 of 6Type of submitter Competent authority

Date of submission 25/11/2018

Published as final Q&A 21/05/2021

Subject matter Calculation method for materiality ratio to be compared against the 10%/5%

threshold for the purpose of application of Article 150(1)(c) for equity

exposure class (Permanent Partial Use)

Question

How should a credit institution - with the prior permission to apply the

standardised approach permanent partial use (PPU) ex Article 150 CRR for

equity exposures - calculate the threshold as per Article 150(2) CRR?

How is the materiality ratio computed? In particular:

1. Should the numerator include only the exposures for which the

application for PPU is being sought under Article 150(1)(c) CRR by

excluding exposures for which PPU has already been granted

pursuant other points of Article 150(1) and exposures not to be

included in the calculation of RWA for equity exposure pursuant to

Article 155(1) (i.e. Equity exposures risk weighted at 250% in

accordance with Article 48(4) of Reg. EU 575/2013 and those

deducted from CET1 in accordance with Part Two of Reg. EU

575/2013)?

2. Should the ratio be computed only at solo level or both at solo and

consolidated level, in case an application is limited to only one Legal

Entity (LE) of a Large Group?

Background on the

Article 150 of Regulation (EU) No 575/2013 (CRR) provides the requirement

question

to include a certain exposure class in the PPU perimeter, by assessing the

relative materiality (generally only exposures deemed as immaterial can be

included in the PPU perimeter). It appears that the evaluation is aimed to

assess the respect of the threshold for an institution that currently uses the

IRB and intends to require the permission to use the standardised (SA)

approach.

Regarding the equity exposure class, Article 150(2) CRR states that ""the

equity exposure class of an institution shall be material if their aggregate

value, excluding equity exposures incurred under legislative programmes as

referred to in point (h) of paragraph 1, does not exceed on average over the

preceding year 10 % of the own funds of the institution. Where the number

of those equity exposures is less than 10 individual holdings, that threshold

shall be 5 % of the own funds of the institution.""

However in point (1)(g) of Article 150 it is stated that ""equity exposures to

entities whose credit obligations are assigned a 0 % risk weight under

Chapter 2 including those publicly sponsored entities where a 0 % risk

weight can be applied"" can be included in the PPU perimeter, without any

3 of 6other requirement to be fulfilled.

In other words, Article 150(2) provides indications whether an equity

exposure class of an institution shall be considered material, in the context

of Article 150(1), introduced within subparagraph 150(1)(c), but it does not

specify whether exposures, for which PPU has already been granted

pursuant to criteria different from the materiality one as per Article

150(1)(c) can be excluded from the calculation of the materiality ratio.

Consequently, potential double counting can arise in the evaluation of the

potential PPU perimeter.

Furthermore, Article 150(2) does not specify whether equity exposures not

subject to RWA calculation according to Article 155 CRR (risk weighted at

250% and those deducted from CET1 in accordance with Part Two of CRR)

should be excluded from the computation.

It follows that it is not clear how a credit institution with the prior

permission to apply the SA (in PPU ex Article 150 CRR) for equity exposures

should calculate the 10% threshold as per Article 150(2) CRR and in

particular :

Whether the amount of equity exposures in the numerator of the ratio

should include all the equity exposures (also the ones deducted ex

Articles 36 and 48 CRR and the ones at 250%RW ex Article 48(4);

Whether 4 instead not 5 quarters should be considered in order to

determine the average for calculating the denominator (i.e. own

funds) of the ratio;

Whether the participation in the capital of a central bank should be

included in the numerator of the ratio;

Whether in case the equity holdings are above the 10% threshold the

institution has to use the AIRB RW (ex Article 155 CRR; not using

anymore the SA ex Article 133 CRR) starting from the same quarter of

the breach (i.e. no possibility to implement a sort of ""plan"" to return to

compliance to remain within the Article 133). In this regard, we can

imagine an example where a bank breaches the 10% threshold in

1Q2019 and in the 2Q2019 the bank manages to fix it returning within

the 10% limit: it is nor clear whether the bank will apply the AIRB RW

for 1Q and again the SA RW for the 2Q or whether there is a sort of

""minimum period"" of application of the AIRB RW or once breached the

10% threshold the bank will lose forever the possibility to apply the

Article 133.

Final answer

Article 150 of Regulation (EU) No 575/2013 (CRR) as amended specifies the

conditions an institution must fulfill to ask the competent authority (CA) for

permission the apply the permanent partial use (PPU) to certain exposures.

Article 150(1)(c) CRR indicates that PPU can apply to “exposure classes or

4 of 6types of exposures which are immaterial in terms of size and risk profile”.

Article 150 (2) CRR details the level of materiality to be taken into account

for equity exposures when asking for permission to apply the PPU: “the

equity exposure class of an institution shall be material if their aggregate

value, excluding equity exposures incurred under legislative programs as

referred to in point (h) of paragraph 1, exceeds on average over the

preceding year 10 % of the own funds of the institution” except when the

number of equity exposures is less than 10 individual holdings, in which case

the aforementioned threshold is set at 5%.

According to Article 150(1)(h)CRR, all exposures belonging to the equity

exposure class should be included in the numerator of the materiality

threshold, except equity exposures incurred under legislative programs but

“up to a limit of 10 % of own funds”. It includes therefore all other types of

equity holdings, which are subject to risk weighting, with the exception of

exposures not deducted from the capital but risk weighted at 250% in

accordance with Article 48(4) of the CRR or at 370% in accordance with

Article 471 of the CRR.

Regarding the denominator of the materiality threshold, own funds are to be

computed as stated in CRR Part II of the CRR. “The average over the

preceding year” mentioned in Article 150(2) should be determined as the

average of the 4 last quarters (this includes the quarter that ends at the

respective reporting date for in relation to which the calculation is done), in

order to restrict the effects of the volatility per quarter.

As specified in 150(1) CRR, PPU can only be applied if an institution has

received prior permission by CA. For the exposures described in 150(1)(c),

the CA may authorise the use of PPU for exposures that meet the

“immateriality of exposures” criterion, which for the equity exposure class is

based on an average over the preceding year, as set out in Article 150 (2).

The CRR does not provide for the application of a phase-in period, when the

threshold is reached. Therefore, if the equity holdings are above the 10% or

the 5% threshold, as applicable , the institution shall use the IRB Approach

for the equity exposure class laid down in point (e) of Article 147(2).

For the purposes of the capital requirements on a consolidated level, the

materiality ratio has to be calculated on such consolidated level. Where one

or more subsidiaries have the permission to apply the IRB Approach, the

ratio also has to be computed on the solo level of the subsidiary or

subsidiaries.

Answer prepared by Answer prepared by the EBA.

Note to Q&A

Link https://www.eba.europa.eu/single-rule-book-qa/qna/view/publicId/2018_4390

5 of 6European Banking Authority, 03/03/2025

www.eba.europa.eu

6 of 6

---- Page Break ----

Single Rulebook Q&A",16
"Question IDDate Date of publication

2016_2679 21/01/2022

2016_2574 18/11/2016",17
"Question ID2016_2679

Status 2016_2679

Status Final Q&A

Legal act Regulation (EU) No 575/2013 (CRR)

Topic Liquidity risk

Article 24, 415

Paragraph 1, 2

Subparagraph a

COM Delegated or Not applicable

Implementing

Acts/RTS/ITS/GLs/Recom

mendations

Article/Paragraph Not applicable

Type of submitter Competent authority

Date of submission 17/03/2016

Published as final Q&A 21/01/2022

Subject matter Definition of “aggregate liabilities” and “total liabilities” in the context of the

5% threshold

Question

Do the terms “aggregated liabilities” and “total liabilities” used in the

calculation of the 5% threshold for multi-currency reporting, refer to on-B/S

liabilities in accordance with the applicable accounting framework referring

to Article 24 CRR only or does it include contingent liabilities booked in the

off-B/S as well?

Background on the

This question aims at clarifying the calculation of “aggregated liabilities” and

question

“total liabilities” that are used to define multi-currency reporting obligations.

The off-B/S of banks might contain material (contingent) payment obligations

in currencies other than the reporting currency from derivative business,

guarantees, trade financing as well as non-monetary liabilities from

1 of 4collateral trading. In particular the funding of assets via currency swaps

might imply considerable liquidity risk.

However, outflows from off-B/S liabilities might be uncertain and in

derivative business – subject to net settlement – the underlying notional

might not entail an outflow. Therefore the consideration of off-B/S liabilities

in the calculation of “aggregated liabilities” and “total liabilities” would

require the definition of selection rules and conversion factors.

Final answer

If a term is not defined in the Regulation, the Q&A instrument cannot be

used to provide a formal, legal definition. Non-defined terms must be

interpreted according to the general meaning of the terms used, together

with other recognised interpretative methods, such as contextual

interpretation and by identifying the objective of the concerned provisions.

In view of the wording of Article 4(5)(b) of Commission Delegated Regulation

(EU) 2015/61, it is clear that the two terms of “aggregate liabilities” and

“total liabilities” only refer to on-balance sheet items.

Disclaimer:

The answers clarify provisions already contained in the applicable

legislation. They do not extend in any way the rights and obligations deriving

from such legislation nor do they introduce any additional requirements for

the concerned operators and competent authorities. The answers are merely

intended to assist natural or legal persons, including competent authorities

and Union institutions and bodies in clarifying the application or

implementation of the relevant legal provisions. Only the Court of Justice of

the European Union is competent to authoritatively interpret Union law. The

views expressed in the internal Commission Decision cannot prejudge the

position that the European Commission might take before the Union and

national courts.

Answer prepared by Answer prepared by the European Commission because it is a matter of

interpretation of Union law.

Note to Q&A

Link https://www.eba.europa.eu/single-rule-book-qa/qna/view/publicId/2016_2679",18
"Question ID2016_2574

Status 2016_2574

Status Final Q&A

2 of 4Legal act Regulation (EU) No 575/2013 (CRR)

Topic Credit risk

Article 24, 111

Paragraph 1

Subparagraph

COM Delegated or Regulation (EU) No 183/2014 - RTS for the calculation of specific and

Implementing general credit risk adjustments

Acts/RTS/ITS/GLs/Recom

mendations

Article/Paragraph 2 (1)

Type of submitter Credit institution

Date of submission 18/01/2016

Published as final Q&A 18/11/2016

Subject matter Assigning Specific Credit Risk Adjustments for a group of exposures to the

exposures within the group

Question

Following question 2013_499, could you confirm that this implies that the

collective provisions allocated to specific portfolios for accounting purposes

(FINREP) will agree at aggregate level with the amounts booked in the

financial statements but the allocation for RWA to single exposures will

differ from the allocation for accounting purposes to single exposures and

thus a single exposure will show a different collective provision for

accounting purposes (FINREP) than that for RWA?

Background on the

The reason behind this question is during audits (supervisory or otherwise) it

question

is expected that the COREP provision of RWA should be in line with the

accounting provision allocation. See also Q&A 2013_499 and Q&A 2013_201.

Final answer

Article 2(1) of the Regulation (EU) No. 183/2014 states that when a Specific

Credit Risk Adjustment reflects losses related to the credit risk of a group of

exposures, they should be assigned to all single exposures of the group

proportionally to the risk-weighted exposure amounts (see also Q&A

2013_499). On the other hand, collective impairment allowances should be

proportionally allocated among group assets for FINREP templates F 04.04

and F 07.00 (see also Q&A 2013_201). Consequently, the allocation of

collective impairment allowances to single exposures for calculation of

capital requirement for credit risk might differ from the allocation for

FINREP purposes.

Answer prepared by Answer prepared by the EBA.

Note to Q&A

Update 26.03.2021: This Q&A has been reviewed in the light of the changes

3 of 4introduced to Regulation (EU) No 575/2013 (CRR) and continues to be

relevant.

Link https://www.eba.europa.eu/single-rule-book-qa/qna/view/publicId/2016_2574

European Banking Authority, 03/03/2025

www.eba.europa.eu

4 of 4

---- Page Break ----

Single Rulebook Q&A",19
"Question IDDate Date of publication

2024_7090 21/02/2025

2024_7088 21/02/2025

2024_7241 14/02/2025

2024_7224 14/02/2025

2024_7256 07/02/2025

2024_7229 31/01/2025

2024_7119 31/01/2025

2024_7233 17/01/2025

2024_7230 17/01/2025

2024_7231 17/01/2025

2024_7232 17/01/2025

2024_7152 10/01/2025

2024_7222 20/12/2024",20
"Question ID2024_7090

Status 2024_7090

Status Final Q&A

Legal act Regulation (EU) No 575/2013 (CRR)

Topic Supervisory reporting - Liquidity (LCR, NSFR, AMM)

Article 415

Paragraph

Subparagraph

COM Delegated or Regulation (EU) 2021/451 – ITS on supervisory reporting of institutions

Implementing (repealed)

Acts/RTS/ITS/GLs/Recom

mendations

Article/Paragraph ANNEX XX - REPORTING ON COUNTERBALANCING CAPACITY

Type of submitter Credit institution

Date of submission 20/05/2024

Published as final Q&A 21/02/2025

1 of 24Subject matter Own secured debt issues in Top 10 - C71.00

Question

Does the secured debt instruments issued by the reporting institution (own

issues retained) be reported in the Top10 in C71?

Background on the

It is clear that own-covered bonds and own-ABS, meaning secured debt

question

instruments issued by the reporting institution retained on the institution’s

balance sheet and to which the institution has direct access at its level of

consolidation (regardless of whether they are CB-eligible, and reagrdless of

whether they are pre-positioned at a central bank for standard liquidity

operations) are part of the Counterbalancing capacity to be included both in

C66 and C71. But the issuer being the same as the reporting institution, it is

not clear whether these assets could be reported as one of the top 10 issuers

(to the extent that these assets fall under the top 10 issuers), or whether

they should be reported always in Row 120 (2. ALL OTHER ITEMS USED AS

COUNTERBALANCING CAPACITY), leaving the top 10 for third party

issuers/counterparties.

Final answer

According to Annex XXI of Regulation (EU) 2021/451 – ITS on supervisory

reporting, point 1, template C 71.00 'collects information about the reporting

institutions’ concentration of counterbalancing capacity by the ten largest

holdings of assets or liquidity lines granted to the institution'. In addition,

point 3 clarifies that the 'counterbalancing capacity in C 71.00 shall be the

same as that in C 66.01'. Point 6 further clarifies that 'concentrations of

counterbalancing capacity with a central bank as issuer or counterparty shall

not be reported in this template' as individual issuer.

Given the above, to the extent that the secured debt instruments issued by

the reporting institution and retained are part of the counterbalancing

capacity of the institution (e.g. they fall into the scope of C 66.01 reporting -

initial stock - column 0010), the institution falls under the top 10 issuers and

the instruments are unencumbered to be available for the institution to

convert into cash on the reporting reference date, then the reporting

institution shall be reported as the issuer of such instruments for the

purpose of C 71.00. The product type to be reported would be the type of

secured debt instruments that have been retained, in line with point 2 of

Annex XXI.

Answer prepared by

Note to Q&A

Link https://www.eba.europa.eu/single-rule-book-qa/qna/view/publicId/2024_7090",21
"Question ID2024_7088

2 2024_7088

2 of 24Status Final Q&A

Legal act Regulation (EU) No 575/2013 (CRR)

Topic Supervisory reporting - FINREP (incl. FB&NPE)

Article 415

Paragraph

Subparagraph

COM Delegated or Regulation (EU) No 680/2014 - ITS on supervisory reporting of institutions

Implementing (repealed)

Acts/RTS/ITS/GLs/Recom

mendations

Article/Paragraph Annex V

Type of submitter Credit institution

Date of submission 17/05/2024

Published as final Q&A 21/02/2025

Subject matter Temporary unavailable (blocked) deposits

Question

Could you please clarify how temporary unavailable (blocked) deposits

should be presented?

Background on the

Customer deposits can be temporary unavailable for owner due to more

question

reasons:

missing documentation,

blocked by Court, Tax authorities, the other financial institutions,

suppliers,

client is in OFAC list, etc.

In which positions in F1.2 and F.8.1 these deposits should be presented:

1. Deposits,

2. Other Financial liabilities, or

3. Non-financial liabilities.

Liabilities are defined in accordance with Annex V Part I, section 5.3:

35. Financial liabilities shall be distributed among the following classes of

instruments: ‘Derivatives’, ‘Short positions’, ‘Deposits’, ‘Debt securities

issued’ and ‘Other financial liabilities’.

36. For the purposes of Annexes III and IV as well as this Annex, ‘deposits’

shall be deposits as defined in the Table of Part 2 of Annex II to the ECB BSI

Regulation.

38. ‘Other financial liabilities’ shall include all financial liabilities other than

3 of 24derivatives, short positions, deposits and debt securities issued.

41. ‘Other financial liabilities’ shall also include dividends to be paid,

amounts payable in respect of suspense and transit items, and amounts

payable in respect of future settlements of transactions in securities or

foreign exchange transactions where payables for transactions are

recognised before the payment date.

and Part II, section 1.2:

13. Liabilities that are not financial liabilities and that due to their nature

could not be classified in specific balance sheet items shall be reported in

‘Other liabilities’.

Also, Deposits categories are in accordance with the Table of Part 2 of Annex

II to the ECB BSI Regulation split in to:

Overnight deposits,

Deposits with agreed maturity,

Deposits redeemable at notice, and

Repos.

If these deposits can be considered as suspense, then based on Annex V they

should be presented as Other financial liabilities.

From the other side, if these deposits can be considered as subject to

restrictions according to national practice, then they should be present as

Deposit, with category Deposits redeemable at notice.

At the end, from our point of view classification to Other liabilities can’t be

met, due the fact that these deposits are in accordance with IAS 32, under

definition of financial instruments, and also they can be classified in specific

balance sheet.

Also, even this question isn’t subject of FINREP reporting, we would like to

clarify with you can they be present in more time bucket of Contractual Flow

Maturity in C66.01 – Maturity Ladder? Based on Table of Part 2 of Annex II

to the ECB BSI Regulation they can be in more time buckets which are ‘up to

and including three months’.

Table of Part 2 of Annex II to the ECB BSI Regulation, 9.3. Deposits

redeemable at notice: ”Non-transferable deposits without any agreed

maturity which cannot be converted into currency without a period of prior

notice; before the expiry the conversion into currency is not possible or

possible only with a penalty. They include deposits which, although perhaps

legally withdrawable on demand, would be subject to penalties and

restrictions according to national practice (classified in the maturity band

‘up to and including three months’), and investment accounts without period

of notice or agreed maturity, but which contain restrictive drawing

4 of 24provisions (classified in the maturity band ‘over three months’).

Final answer

In accordance with Commission Implementing Regulation (EU)

2021/451 (ITS), Annex V, Part 1, paragraph 36, ‘deposits’ shall be deposits

as defined in the Table of Part 2 of Annex II to the ECB BSI Regulation. In

table of Part 2 of Annex II to the ECB BSI Regulation, deposits are split into

the following categories:

Overnight deposits,

Deposits with agreed maturity,

Deposits redeemable at notice, and

Repos.

ECB BSI Regulation states that the classification of financial liabilities as

deposits should be based on an assessment of their characteristics, including

transferability, convertibility, certainty, and negotiability, as well as their

terms of issue, as defined within the Regulation.

Deposits with temporary unavailability due to reasons such as: missing

documentation; deposits blocked by Court, Tax authorities, the other

financial institutions, suppliers; client in OFAC list, etc. still have the

characteristics of deposit based on contract with the client. Therefore, they

should be reported as deposits in templates F 01.02 and F 08.01 in the row

corresponding to the type of deposit: Current accounts/ overnight deposits,

Deposits with agreed maturity, Deposits redeemable at notice or Repos.

With respect to determining the contractual maturity of flows, for C 66.01

reporting, according to Annex 23 of ITS on supervisory reporting,

institutions shall report the flows from deposit according to the residual

maturity.

Answer prepared by

Note to Q&A

Link https://www.eba.europa.eu/single-rule-book-qa/qna/view/publicId/2024_7088",22
"Question ID2024_7241

Status 2024_7241

Status Final Q&A

Legal act Regulation (EU) No 575/2013 (CRR)

Topic Supervisory reporting - FINREP (incl. FB&NPE)

Article 430

Paragraph FINREP Guidance

Subparagraph

COM Delegated or Regulation (EU) 2021/451 – ITS on supervisory reporting of institutions

5 of 24Implementing (repealed)

Acts/RTS/ITS/GLs/Recom

mendations

Article/Paragraph FINREP Guidance

Type of submitter Other

Date of submission 04/11/2024

Published as final Q&A 14/02/2025

Subject matter FINREP Template F01.01

Question

We would like to seek clarification regarding the classification of repurchase

agreements (repos) in the context of the FINREP reporting framework.

Specifically, we am inquiring whether repurchase agreements with a

maturity of less than or equal to one day, where the counterparty is a credit

institution, can be reported under row 0040 (Other demand deposits) in

report F01.01.

Background on the

In the process of preparing our FINREP reports, we have encountered a

question

classification question regarding short-term repurchase agreements (repos)

with credit institutions. Specifically, we are reviewing the appropriate

categorization of repos with a maturity of one day or less within the F01.01

report structure.

Our current understanding of the FINREP framework suggests that such

short-term repos might potentially be classified under row 0040 (Other

demand deposits) in report F01.01. However, given the specific nature of

repo transactions and their importance in liquidity management, we want to

ensure we are applying the correct classification methodology in line with

regulatory expectations.

Question: We respectfully request clarification on whether repurchase

agreements meeting the following criteria can be reported under row 0040

(Other demand deposits) in report F01.01:

1. The repo has a maturity of less than or equal to one day

2. The counterparty is a credit institution

Additionally, if this classification is not appropriate, we would greatly

appreciate guidance on the correct reporting category for such short-term

repos within the FINREP framework.

Final answer

According to the Commission Implementing Regulation (EU) 2021/451 (ITS),

Annex V, Part 2, paragraph 85, letter e): 'Reverse repurchase loans’ shall

include finance granted in exchange for securities or gold bought under

repurchase agreements or borrowed under securities lending agreements as

defined in paragraphs 183 and 184 of this Part'

According to the ITS, Annex V, part 2, paragraphs 183 and 184: ‘Repurchase

agreements’ (‘repos’) shall be transactions in which the institution receives

6 of 24cash in exchange for financial assets sold at a given price under a

commitment to repurchase the same (or identical) assets at a fixed price on a

specified future date [....]. Repurchase agreements’ (‘repos’) and ‘reverse

repurchase loans’ (‘reverse repos’) shall involve cash received or loaned out

by the institution'.

Under IFRS, a repo transaction does not lead to the derecognition of the

financial asset provided as collateral, but a repo liability (debt) is accounted

for by the reporting institution in counterparty of the cash received

(representing the obligation to reimburse the cash). A repo transaction does

not lead to the recognition of a repo asset.

Consistently with the definition and the accounting treatment of repo

transaction, under a reverse-repo transaction, the reporting institution loans

cash in exchange for financial assets bought at a given price under a

commitment to resell the same (or identical) assets at a fixed price on a

specified future date. In this transaction, the reporting institution accounts

for a loan on the basis of the cash amount lent.

In template F 05.01, there is an ad-hoc row 0050 where all reverse repo

transactions shall be reported, regardless of the maturity and the

counterparty. Therefore, these transactions should not be reported in row

0010 of F 05.01.

Consistently with this approach, in template F 01.01, the reverse repo

transactions should be reported as 'loan' in the relevant accounting portfolio

following the applicable accounting rules, outside the row 0040 'Other

demand deposits'. Indeed, the reverse repo transactions do not match the

definition of 'other demand deposits' in Commission Implementing

Regulation (EU) 2021/451, Annex V, part 2, paragraph 3 that are 'loans and

advances that are balances receivable on demand with credit institutions'.

Answer prepared by Answer prepared by the EBA.

Note to Q&A

Link https://www.eba.europa.eu/single-rule-book-qa/qna/view/publicId/2024_7241",23
"Question ID2024_7224

Status 2024_7224

Status Final Q&A

Legal act Regulation (EU) No 575/2013 (CRR)

Topic Supervisory reporting - FINREP (incl. FB&NPE)

Article 415

Paragraph

Subparagraph

COM Delegated or Regulation (EU) 2021/451 – ITS on supervisory reporting of institutions

7 of 24Implementing (repealed)

Acts/RTS/ITS/GLs/Recom

mendations

Article/Paragraph Annex V, Art. 285 (a)

Type of submitter Consultancy firm

Date of submission 17/10/2024

Published as final Q&A 14/02/2025

Subject matter Reporting of customer portfolios managed on a discretionary basis

Question

According to Annex V, Part 2, paragraph 285 (a) of Commission

Implementing Regulation (EU) 2021/451 (ITS): '‘'Asset management’ shall

refer to assets belonging directly to the customers, for which the institution

is providing management.” Since these assets belong to the customers, they

are generally not recognized in the balance sheet of the credit institution. It

is not clear however if the cash deposited by customers that the institution

manages on a discretionary basis should be recognized as a liability.

Additionally, if this account would have a negative balance, an asset might

be recognized.

Background on the

Commission de Surveillance du Secteur Financier (CSSF) offers additional

question

details related to the FinRep reporting for the institutions in Luxembourg

where it is stated: “cash deposited by customers that the institution manages

on a discretionary basis is registered in the balance sheet liabilities (table F

1.2: Financial liabilities measured at amortised cost: deposits).” (document

“Additional guidance for Credit Institutions related to specific reporting

aspects”,

https://www.cssf.lu/en/Document/additional-guidance-for-credit-institutions-r

elated-to-specific-reporting-aspects/)

It is not clear if this requirement is country specific or if according to IFRS

and EBA requirements, these items must be recognized in the balance sheet

of the credit institution which manages the customer portfolios on a

discretionary basis.

Final answer

Cash deposited by customers that the institution manages on a discretionary

basis should be reported in Finrep template F 01.02, row 0120 (financial

liabilities measured at amortised cost: deposits), provided that they meet the

recognition criteria as ‘financial liability measured at amortised cost’ in

accordance with the applicable accounting framework and they meet the

definition of ‘deposits’ in the Table of Part 2 of Annex II to the Regulation

(EU) 2021/379 (ECB BSI Regulation).

8 of 24Answer prepared by Answer prepared by the EBA.

Note to Q&A

Link https://www.eba.europa.eu/single-rule-book-qa/qna/view/publicId/2024_7224",24
"Question ID2024_7256

Status 2024_7256

Status Final Q&A

Legal act Regulation (EU) No 575/2013 (CRR)

Topic Own funds

Article 26

Paragraph 1

Subparagraph

COM Delegated or Not applicable

Implementing

Acts/RTS/ITS/GLs/Recom

mendations

Article/Paragraph -

Name of institution / Banco de España

submitter

Country of incorporation / Spain

residence

Type of submitter Competent authority

Date of submission 22/11/2024

Published as final Q&A 07/02/2025

Subject matter Direct contributions to reserves from shareholders

Question

Which conditions should direct contributions to reserves from shareholders

meet when assessing their conformity with the criteria contained in the last

subparagraph of Article 26(1) CRR?

Background on the

Apart from capital increase, in order to increase the equity of an institution,

question

in some jurisdictions, it is possible for shareholders to make direct

contributions to the reserves of the institutions.

The economic outcome of a direct contribution to the reserves of a credit

institution is similar to that of a capital increase: an increase in CET1 items.

Nevertheless, because reserves are not a capital instrument, a contribution

in this form does not need to meet the authorisation/notification requirement

of article 26(3) CRR that is necessary in order to be classified as CET1, nor

the eligibility conditions of article 28 CRR or the supervisory permission to

reduce own funds of articles 77 and 78 CRR.

9 of 24To ensure that the funds are available to the institution for unrestricted and

immediate use to cover risks or losses as soon as these occur according to

Article 26(1) CRR, direct contributions to reserves should be subject to

certain conditions.

Final answer

Where permitted under national law, direct contributions to reserves may be

recognised as CET1, as long as they meet the requirements of the last

subparagraph of Article 26(1) of Regulation (EU) No 575/2013 (CRR),

namely that they are available to the institution for unrestricted and

immediate use to cover risks or losses as soon as these occur.

The use of direct contributions to reserves should be approached prudently,

as it is not meant to be the primary method to raise capital. The potential use

of such measure is expected to be subject to similar conditions, as listed

under the paragraph below, to those of CET1 instruments, and under the

same level of competent authority scrutiny.

In this regard, when assessing the conformity of those contributions with the

criteria contained in the last subparagraph of Article 26(1) CRR, competent

authorities should take into account the following criteria, which can be

adapted by taking into account the specificities of each case and the

applicable national legislation:

a) The contribution should be made to offset losses or as an explicit equity

contribution.

b) It should be made as a non-refundable contribution.

c) If there are several shareholders, it is generally expected that all make

contributions in proportion to their share in the capital of the institution.

Exceptions should be scrutinised and duly justified. There should not be any

agreement according to which a disproportionate contribution leads to a

preferential treatment in case the reserve is dissolved.

d) The contribution should be evidenced as fully paid up at the time of its

realisation, under the same conditions as share capital, and the contribution

should not be funded directly or indirectly by the institution. Contributions in

kind should fulfil the criteria specified in Q&A 3636.

e) There should not be any direct or indirect economic benefits of any kind to

the contributor or any other person for the contribution made (e.g.

dividends, interest, remuneration, servicing cost, etc).

f) The provisions governing or documentation formalising the contribution

should indicate expressly that, in accordance with the last subparagraph of

Article 26(1) CRR, the amounts contributed are available to the institution

for unrestricted and immediate use to cover risks or losses as soon as these

occur.

10 of 24g) Contributions should be classified as equity for the purposes of

determining balance sheet insolvency, where applicable under national

insolvency law.

h) Contributions should be accounted for as reserves within equity, in

accordance with the applicable accounting framework.

i) The institution should provide sufficient disclosure of such an item in its

public accounts.

j) The contributor should not be entitled to any right on the profits and

reserves in any situation including in the event of the institution’s insolvency

or liquidation.

k) All the above requirements should be documented in a legal form similar

to the one used for increases of CET1 instruments taking into account the

local legal framework. For contributions in kind, similar documentation can

also include an independent auditor’s valuation.

l) Any reclassification of the contribution to another reserve and/or

distribution should be subject to prior consultation with the competent

authority.

Answer prepared by Answer prepared by the EBA.

Note to Q&A

Link https://www.eba.europa.eu/single-rule-book-qa/qna/view/publicId/2024_7256",25
