Chunk,Index
"Article 151(9) 151(9) to use own estimates of LGDs and conversion

factors, shall not revert to the use of LGD values and conversion

factors referred to in Article 151(8) unless the following

conditions are met:

(a) the institution has demonstrated to the satisfaction of the

competent authority that the use of LGDs and conversion

factors laid down in Article 151(8) for a certain exposure

class or type of exposure is not proposed in order to reduce

the own funds requirement of the institution, is necessary

on the basis of nature and complexity of the institution's

total exposures of this type and would not have a material

adverse impact on the solvency of the institution or its

ability to manage risk effectively;

(b) the institution has received the prior permission of the

competent authority.

3.

The application of paragraphs 1 and 2 is subject to the

conditions for rolling out the IRB Approach determined by the

competent authorities in accordance with Article 148 and the

permission for permanent partial use referred to in Article 150.",11
"Article 150

Conditions 150

Conditions for permanent partial use

1.

Where institutions have received the prior permission of

the competent authorities, institutions permitted to use the IRB

Approach in the calculation of risk-weighted exposure amounts

and expected loss amounts for one or more exposure classes

may apply the Standardised Approach for the following

exposures:

(a) the exposure class laid down in Article 147(2)(a), where the

number of material counterparties is limited and it would be

unduly burdensome for the institution to implement a

rating system for these counterparties;

(b) the exposure class laid down in Article 147(2)(b), where the

number of material counterparties is limited and it would be

unduly burdensome for the institution to implement a

rating system for these counterparties;

(c) exposures in non-significant business units as well as

exposure classes or types of exposures that are immaterial

in terms of size and perceived risk profile;

(d) exposures to central governments and central banks of the

Member States and their regional governments, local auth­

orities, administrative bodies and public sector entities

provided:

(i) there is no difference in risk between the exposures to

that central government and central bank and those

other exposures because of specific public arrangements;

and

(ii) exposures to the central government and central bank

are assigned a 0 % risk weight under Article 114(2), (4)

or (5);

(e) exposures of an institution to a counterparty which is its

parent undertaking, its subsidiary or a subsidiary of its

parent undertaking provided that the counterparty is an

institution or a financial holding company, mixed financial

holding company, financial institution, asset management

company or ancillary services undertaking subject to appro­

priate prudential requirements or an undertaking linked by a

relationship within the meaning of Article 12(1) of Directive

83/349/EEC;

EN

L 176/94

Official Journal of the European Union

27.6.2013

(f) exposures between institutions which meet the requirements

set out in Article 113(7);

(g) equity exposures to entities whose credit obligations are

assigned a 0 % risk weight under Chapter 2 including

those publicly sponsored entities where a 0 % risk weight

can be applied;

(h) equity exposures incurred under legislative programmes to

promote specified sectors of the economy that provide

significant subsidies for the investment to the institution

and involve some form of government oversight and

restrictions

on

the

equity

investments

where

such

exposures may in aggregate be excluded from the IRB

Approach only up to a limit of 10 % of own funds;

(i) the exposures identified in Article 119(4) meeting the

conditions specified therein;

(j) State

and

State-reinsured

guarantees

referred

to

in",12
"Article 215(2).

The 215(2).

The competent authorities shall permit the application of Stan­

dardised Approach for equity exposures referred to in points (g)

and (h) of the first subparagraph which have been permitted for

that treatment in other Member States. EBA shall publish on its

website and regularly update a list with the exposures referred

to in those points (to be treated according to the Standardised

Approach.

2.

For the purposes of paragraph 1, the equity exposure class

of an institution shall be material if their aggregate value,

excluding

equity

exposures

incurred

under

legislative

programmes as referred to in point (g) of paragraph 1,

exceeds on average over the preceding year 10 % of the own

funds of the institution. Where the number of those equity

exposures is less than 10 individual holdings, that threshold

shall be 5 % of the own funds of the institution.

3.

EBA shall develop draft regulatory technical standards to

determine the conditions of application of points (a), (b) and (c)

of paragraph 1.

EBA shall submit those draft regulatory technical standards to

the Commission by 31 December 2014.

Power is delegated to the Commission to adopt the regulatory

technical standards referred to in the first subparagraph in

accordance with Articles 10 to 14 of Regulation (EU)

No 1093/2010.

4.

EBA shall issue guidelines on the application of point (d)

of paragraph 1 in 2018, recommending limits in terms of a

percentage of total balance sheet and/or risk weighted assets to

be calculated in accordance with the Standardised Approach.

Those guidelines shall be adopted in accordance with Article 16

of Regulation (EU) No 1093/2010.

S e c t i o n 2

C a l c u l a t i o n

o f

r i s k

w e i g h t e d

e x p o s u r e

a m o u n t s

S u b - S e c t i o n 1

T r e a t m e n t b y t y p e o f e x p o s u r e c l a s s",13
"Article 92(3).

5.

The 92(3).

5.

The risk-weighted exposure amount of a securitisation

position shall be calculated by applying to the exposure value

of the position, calculated as set out in Article 246, the relevant

total risk weight.

6.

The total risk weight shall be determined as the sum of

the risk weight set out in this Chapter and any additional risk

weight in accordance with Article 407.",14
"Article 299(2).

3.

The 299(2).

3.

The own funds requirement for counterparty credit risk

with respect to the CCR exposures to which an institution

applies the IMM, shall be the higher of the following:

(a) the own funds requirement for those exposures calculated

on the basis of Effective EPE using current market data;

(b) the own funds requirement for those exposures calculated

on the basis of Effective EPE using a single consistent stress

calibration for all CCR exposures to which they apply the

IMM.

4.

Except for counterparties identified as having Specific

Wrong-Way Risk that fall within the scope of Article 291(4)

and (5), institutions shall calculate the exposure value as the

product of alpha (α) times Effective EPE, as follows:

Exposure value ¼ α · Effective EPE

where:

α = 1.4, unless competent authorities require a higher α or

permit institutions to use their own estimates in

accordance with paragraph 9;

Effective EPE shall be calculated by estimating expected

exposure (EEt) as the average exposure at future date t, where

the average is taken across possible future values of relevant

market risk factors.

The model shall estimate EE at a series of future dates t1, t2, t3,

etc.

5.

Effective EE shall be calculated recursively as:

Effective EE tk ¼ max fEffective EE tk–1 , EE tk

g

where:

the current date is denoted as t 0 ;

Effective EE t0 equals current exposure.

6.

Effective EPE is the average Effective EE during the first

year of future exposure. If all contracts in the netting set mature

within less than one year, EPE shall be the average of EE until

all contracts in the netting set mature. Effective EPE shall be

calculated as a weighted average of Effective EE:

Effective EPE ¼

X

min f1 year; maturityg

k¼1

Effective EE tk · Δt k

where the weights Δt k ¼ t k – t k–1 allow for the case when

future exposure is calculated at dates that are not equally

spaced over time.

EN

L 176/176

Official Journal of the European Union

27.6.2013

7.

Institutions shall calculate EE or peak exposure measures

on the basis of a distribution of exposures that accounts for the

possible non-normality of the distribution of exposures.

8.

An institution may use a measure of the distribution

calculated by the model that is more conservative than α

multiplied by Effective EPE as calculated in accordance with

the equation in paragraph 4 for every counterparty.

9.

Notwithstanding paragraph 4, competent authorities may

permit institutions to use their own estimates of alpha, where:

(a) alpha shall equal the ratio of internal capital from a full

simulation

of

CCR

exposure

across

counterparties

(numerator) and internal capital based on EPE (denomi­

nator);

(b) in the denominator, EPE shall be used as if it were a fixed

outstanding amount.

When estimated in accordance with this paragraph, alpha shall

be no lower than 1.2.

10.

For the purposes of an estimate of alpha under

paragraph 9, an institution shall ensure that the numerator

and denominator are calculated in a manner consistent with

the modelling methodology, parameter specifications and

portfolio composition. The approach used to estimate α shall

be based on the institution's internal capital approach, be well

documented and be subject to independent validation. In

addition, an institution shall review its estimates of alpha on

at least a quarterly basis, and more frequently when the

composition of the portfolio varies over time. An institution

shall also assess the model risk.

11.

An institution shall demonstrate to the satisfaction of the

competent authorities that its internal estimates of alpha capture

in the numerator material sources of dependency of distribution

of market values of transactions or of portfolios of transactions

across counterparties. Internal estimates of alpha shall take

account of the granularity of portfolios.

12.

In supervising the use of estimates under paragraph 9,

competent authorities shall have regard to the significant

variation in estimates of alpha that arises from the potential

for mis-specification in the models used for the numerator,

especially where convexity is present.

13.

Where appropriate, volatilities and correlations of market

risk factors used in the joint modelling of market and credit risk

shall be conditioned on the credit risk factor to reflect potential

increases in volatility or correlation in an economic downturn.",15
"Article 24

Valuation 24

Valuation of assets and off-balance sheet items

1.

The valuation of assets and off-balance sheet items shall

be effected in accordance with the applicable accounting

framework.

2.

By way of derogation from paragraph 1, competent auth­

orities may require that institutions effect the valuation of assets

and off-balance sheet items and the determination of own funds

in accordance with International Accounting Standards as

applicable under Regulation (EC) No 1606/2002.

PART TWO

OWN FUNDS

TITLE I

ELEMENTS OF OWN FUNDS

CHAPTER 1

Tier 1 capital",16
"Article 25

Tier 25

Tier 1 capital

The Tier 1 capital of an institution consists of the sum of the

Common Equity Tier 1 capital and Additional Tier 1 capital of

the institution.

CHAPTER 2

Common Equity Tier 1 capital

S e c t i o n 1

C o m m o n e q u i t y t i e r 1 i t e m s a n d

i n s t r u m e n t s",17
"Article 4(1).

ESMA 4(1).

ESMA shall submit those draft implementing technical standards

to the Commission by 31 December 2014.

Power is conferred on the Commission to adopt the imple­

menting technical standards referred to in the first subparagraph

in

accordance

with",18
"Article 15

of

Regulation

(EU)

No 15

of

Regulation

(EU)

No 1095/2010.",19
"Article 301

Material 301

Material scope

1.

This Section applies to the following contracts and trans­

actions for as long as they are outstanding with a CCP:

(a) the contracts listed in Annex II and credit derivatives;

(b) repurchase transactions;

(c) securities or commodities lending or borrowing trans­

actions;

(d) long settlement transactions;

(e) margin lending transactions.

EN

27.6.2013

Official Journal of the European Union

L 176/189

2.

Institutions may choose whether to apply one of the

following two treatments to the contracts and transactions

outstanding with a Q CCP listed in paragraph 1:

(a) the treatment for trade exposures and exposures from

default fund contributions set out in Article 306, except

for the treatment set out in paragraph 1(b) of that Article,

and in Article 307, respectively;

(b) the treatment set out in Article 310.

3.

Institutions shall apply the treatment set out in",20
"Article 306, 306, except for the treatment set out in paragraph

(1)(a) of that Article, and in Article 309, as applicable, to the

contracts and transactions outstanding with a non-qualifying

CCP listed in paragraph 1 of this Article.",21
"Article 272

Definitions

For 272

Definitions

For the purposes of this Chapter and of Title VI of this Part, the

following definitions shall apply:

General terms

(1) 'counterparty credit risk' or 'CCR' means the risk that the

counterparty to a transaction could default before the final

settlement of the transaction's cash flows;

EN

27.6.2013

Official Journal of the European Union

L 176/167

Transaction types

(2) 'long settlement transactions' means transactions where a

counterparty undertakes to deliver a security, a commodity,

or a foreign exchange amount against cash, other financial

instruments, or commodities, or vice versa, at a settlement

or delivery date specified by contract that is later than the

market standard for this particular type of transaction or

five business days after the date on which the institution

enters into the transaction, whichever is earlier;

(3) 'margin lending transactions' means transactions in which

an institution extends credit in connection with the

purchase, sale, carrying or trading of securities. Margin

lending transactions do not include other loans that are

secured by collateral in the form of securities;

Netting set, hedging sets, and related terms

(4) 'netting set' means a group of transactions between an

institution and a single counterparty that is subject to a

legally enforceable bilateral netting arrangement that is

recognised under Section 7 and Chapter 4.

Each transaction that is not subject to a legally enforceable

bilateral netting arrangement which is recognised under

Section 7 shall be treated as its own netting set for the

purposes of this Chapter.

Under the Internal Model Method set out in Section 6, all

netting sets with a single counterparty may be treated as a

single netting set if negative simulated market values of the

individual netting sets are set to 0 in the estimation of

expected exposure (hereinafter referred to as 'EE');

(5) 'risk position' means a risk number that is assigned to a

transaction under the Standardised Method set out in

Section5 following a predetermined algorithm;

(6) 'hedging set' means a group of risk positions arising from

the transactions within a single netting set, where only the

balance of those risk positions is used for determining the

exposure value under the Standardised Method set out in

Section 5;

(7) 'margin agreement' means an agreement or provisions of

an agreement under which one counterparty must supply

collateral to a second counterparty when an exposure of

that second counterparty to the first counterparty exceeds

a specified level;

(8) 'margin threshold' means the largest amount of an

exposure that remains outstanding before one party has

the right to call for collateral;

(9) 'margin period of risk' means the time period from the

most recent exchange of collateral covering a netting set of

transactions with a defaulting counterparty until the trans­

actions are closed out and the resulting market risk is re-

hedged;

(10) 'effective maturity under the Internal Model Method for a

netting set with maturity greater than one year' means the

ratio of the sum of expected exposure over the life of the

transactions in the netting set discounted at the risk-free

rate of return, divided by the sum of expected exposure

over one year in a netting set discounted at the risk-free

rate.

This effective maturity may be adjusted to reflect rollover

risk by replacing expected exposure with effective expected

exposure for forecasting horizons under one year;

(11) 'cross-product netting' means the inclusion of transactions

of different product categories within the same netting set

pursuant to the Cross-Product Netting rules set out in this

Chapter;

(12) 'Current Market Value' (hereinafter referred to as 'CMV')

for the purposes of Section 5 refers to the net market

value of the portfolio of transactions within a netting

set, where both positive and negative market values are

used in computing the CMV;

Distributions

(13) 'distribution of market values' means the forecast of the

probability distribution of net market values of trans­

actions within a netting set for a future date (the fore­

casting horizon), given the realised market value of those

transactions at the date of the forecast;

(14) 'distribution of exposures' means the forecast of the prob­

ability distribution of market values that is generated by

setting forecast instances of negative net market values

equal to zero;

(15) 'risk-neutral distribution' means a distribution of market

values or exposures over a future time period where the

distribution is calculated using market implied values such

as implied volatilities;

EN

L 176/168

Official Journal of the European Union

27.6.2013

(16) 'actual distribution' means a distribution of market values

or exposures at a future time period where the distribution

is calculated using historic or realised values such as vola­

tilities calculated using past price or rate changes;

Exposure measures and adjustments

(17) 'current exposure' means the larger of zero and the market

value of a transaction or portfolio of transactions within a

netting set with a counterparty that would be lost upon

the default of the counterparty, assuming no recovery on

the value of those transactions in insolvency or liquidation;

(18) 'peak exposure' means a high percentile of the distribution

of exposures at particular future date before the maturity

date of the longest transaction in the netting set;

(19) 'expected exposure' (hereinafter referred to as 'EE') means

the average of the distribution of exposures at a particular

future date before the longest maturity transaction in the

netting set matures;

(20) 'effective expected exposure at a specific date' (hereinafter

referred to as 'Effective EE') means the maximum expected

exposure that occurs at that date or any prior date. Alter­

natively, it may be defined for a specific date as the greater

of the expected exposure at that date or the effective

expected exposure at any prior date;

(21) 'expected positive exposure' (hereinafter referred to as

'EPE') means the weighted average over time of expected

exposures, where the weights are the proportion of the

entire time period that an individual expected exposure

represents.

When calculating the own funds requirement, institutions

shall take the average over the first year or, if all the

contracts within the netting set mature within less than

one year, over the time period until the contract with the

longest maturity in the netting set has matured;

(22) 'effective expected positive exposure' (hereinafter referred

to as 'Effective EPE') means the weighted average of

effective expected exposure over the first year of a

netting set or, if all the contracts within the netting set

mature within less than one year, over the time period of

the longest maturity contract in the netting set, where the

weights are the proportion of the entire time period that

an individual expected exposure represents;

CCR related risks

(23) 'rollover risk' means the amount by which EPE is under­

stated when future transactions with a counterparty are

expected to be conducted on an ongoing basis.

The additional exposure generated by those future trans­

actions is not included in calculation of EPE;

(24) 'counterparty' for the purposes of Section 7 means any

legal or natural person that enters into a netting

agreement, and has the contractual capacity to do so;

(25) 'contractual cross product netting agreement' means a

bilateral contractual agreement between an institution

and a counterparty which creates a single legal obligation

(based on netting of covered transactions) covering all

bilateral master agreements and transactions belonging to

different product categories that are included within the

agreement;

For the purposes of this definition, 'different product

categories' means:

(a) repurchase transactions, securities and commodities

lending and borrowing transactions;

(b) margin lending transactions;

(c) the contracts listed in Annex II;

(26) 'payment leg' means the payment agreed in an OTC

derivative transaction with a linear risk profile which

stipulates the exchange of a financial instrument for a

payment.

In the case of transactions that stipulate the exchange of

payment against payment, those two payment legs shall

consist of the contractually agreed gross payments,

including the notional amount of the transaction.

S e c t i o n 2

M e t h o d s

f o r

c a l c u l a t i n g

t h e

e x p o s u r e

v a l u e",22
"Article 305

Treatment 305

Treatment of clients' exposures

1.

Where an institution is a client, it shall calculate the own

funds requirements for its CCP-related transactions with its

clearing member in accordance with Sections 1 to 8 of this

Chapter and with Title VI of Part Three, as applicable.

2.

Without prejudice to the approach specified in paragraph

1, where an institution is a client, it may calculate the own

funds requirements for its trade exposures for CCP-related trans­

actions with its clearing member in accordance with Article 306

provided that all the following conditions are met:

(a) the positions and assets of that institution related to those

transactions are distinguished and segregated, at the level of

both the clearing member and the CCP, from the positions

and assets of both the clearing member and the other

clients of that clearing member and as a result of that

distinction and segregation those positions and assets are

bankruptcy remote in the event of the default or insolvency

of the clearing member or one or more of its other clients;

(b) laws, regulations, rules and contractual arrangements

applicable to or binding that institution or the CCP facilitate

the transfer of the client's positions relating to those

contracts and transactions and of the corresponding

collateral to another clearing member within the applicable

margin period of risk in the event of default or insolvency

of the original clearing member. In such circumstance, the

client's positions and the collateral shall be transferred at

market value unless the client requests to close out the

position at market value;

(c) the institution has available an independent, written and

reasoned legal opinion that concludes that, in the event of

legal challenge, the relevant courts and administrative auth­

orities would find that the client would bear no losses on

account of the insolvency of its clearing member or of any

of its clearing member's clients under the laws of the juris­

diction of the institution, its clearing member and the CCP,

the law governing the transactions and contracts the insti­

tution clears through the CCP, the law governing the

collateral, and the law governing any contract or

agreement necessary to meet the condition in point (b);

(d) the CCP is a Q CCP .

3.

Without prejudice to the conditions specified in paragraph

2, where an institution that is a client is not protected from

losses in the case that the clearing member and another client

of the clearing member jointly default, but all the other

conditions set out in paragraph 2 are met, the client may

calculate the own funds requirements for its trade exposures

for CCP-related transactions with its clearing member in

accordance with Article 306, subject to replacing the 2 % risk

weight in paragraph 1(a) of that Article with a 4 % risk weight.

EN

27.6.2013

Official Journal of the European Union

L 176/191

4.

Where an institution that is a client accesses the services

of a CCP through indirect clearing arrangements, in accordance

with Article 4(3) of Regulation (EU) No 648/2012, that insti­

tution may apply the treatment set out in paragraph 2 or 3

only where the conditions in each paragraph are met at every

level of the chain of intermediaries.",23
"Article 306

Own 306

Own funds requirements for trade exposures

1.

An institution shall apply the following treatment to its

trade exposures with CCPs:

(a) it shall apply a risk weight of 2 % to the exposure values of

all its trade exposures with QCCPs;

(b) it shall apply the risk weight used for the Standardised

Approach to credit risk as set out in Article 107(2)(b) to

all its trade exposures with non-qualifying CCPs;

(c) where an institution is acting as a financial intermediary

between a client and a CCP and the terms of the CCP-

related transaction stipulate that the institution is not

obligated to reimburse the client for any losses suffered

due to changes in the value of that transaction in the

event that the CCP defaults, the exposure value of the trans­

action with the CCP that corresponds to that CCP-related

transaction is equal to zero.

2.

Notwithstanding paragraph 1, where assets posted as

collateral to a CCP or a clearing member are bankruptcy

remote in the event that the CCP, the clearing member or

one or more of the other clients of the clearing member

becomes insolvent, an institution may attribute an exposure

value of zero to the counterparty credit risk exposures for

those assets.

3.

An institution shall calculate exposure values of its trade

exposures with a CCP in accordance with Sections 1 to 8 of this

Chapter, as applicable.

4.

An institution shall calculate the risk weighted exposure

amounts for its trade exposures with CCPs for the purposes of",24
"Article 92(3) 92(3) as the sum of the exposure values of its trade

exposures with CCPs, calculated in accordance with paragraphs

2 and 3 of this Article, multiplied by the risk weight determined

in accordance with paragraph 1 of this Article.",25
