Chunk,Chunk Content,Index
Article8,"8 Operational Requirements

Credit institutions shall have policies and limits in place to ensure that the

holdings of liquid assets comprising their liquidity buffer remain

appropriately diversified at all times. For those purposes, credit

institutions shall take into account the extent of diversification between

the various categories of liquid assets and within the same > category of

liquid assets referred to in CI

and any other relevant diversification factors, such as types of issuers,

counterparties or the geographical location of those issuers and

counterparties.

Credit institutions shall have ready access to their holdings of liquid

assets and be able to monetise them at any time during the 30 calendar

day stress period via outright sale or repurchase agreement on generally

accepted repurchase markets. A liquid asset shall be deemed readily

accessible to a credit institution where there are no legal or practical

impediments to the credit institution's ability to monetise such an asset in

a timely fashion.Assets used to provide credit enhancement in structured transactions or

to cover operational costs of the credit institutions shall not be deemed

as readily accessible to a credit institution.

01/01/2022

01/01/2022

Assets held in a third country where there are restrictions to their free

transferability shall be deemed readily accessible only insofar as the

credit institution uses those assets to meet liquidity outflows in that third

country. Assets held in a non-convertible currency shall be deemed

readily accessible only insofar as the credit institution uses those assets

to meet liquidity outflows in that currency.

Credit institutions shall ensure that their liquid assets are under the

control of a specific liquidity management function within the credit

institution by:

(a) placing the liquid assets in a separate pool under the direct

management of the liquidity function and with the sole intent of using

them as a source of contingent funds, including during stress

periods; or

(b) putting in place internal systems and controls to give the liquidity

management function effective operational control to monetise the

holdings of liquid assets at any point in the 30 calendar day stress

period and to access the contingent funds without directly conflicting

with any existing business or risk management strategies. In

particular, an asset shall not be included in the liquidity buffer where

monetisation of the asset without replacement throughout the 30

calendar day stress period would remove a hedge that would create

an open risk position in excess of the internal limits of the credit

institution; or

(c) a combination of options (a) and (b), if appropriate.

Credit institutions shall regularly, and at least once a year, monetise a

sufficiently representative sample of their holdings of liquid assets by

means of outright sale or simple repurchase agreement on a generally

accepted repurchase market. Credit institutions shall develop strategies

for disposing of samples of liquid assets which are adequate to:

(a) test the access to the market for those assets and their usability;

01/01/2022

01/01/202201/01/2022

(b) check that the credit institution's processes for the timely monetisation

of assets are effective;

(c) minimise the risk of sending a negative signal to the market as a

result of the credit institution's monetising its assets during stress

periods.

The requirement laid down in the first subparagraph shall not apply to

level 1 assets referred to in Article 10, other than extremely high quality

covered bonds, to the restricted-use committed liquidity facility referred to

in subparagraph (d) of Article 12(1).

institutions from hedging the market risk associated with their liquid

assets provided that the following conditions are met:

(a) the credit institution puts in place appropriate internal arrangements in

continue to be readily available and under the control of the liquidity

management function;

(b) the net liquidity outflows and inflows that would result in the event

of an early close-out of the hedge are taken into account in the

valuation of the relevant asset in accordance with Article 9.

Credit institutions shall ensure that the currency denomination of their

liquid assets is consistent with the distribution by currency of their net

liquidity outflows.

[Note: This rule corresponds to Article 8 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",11
Article9,"9 Valuation of Liquid Assets

For the purposes of calculating its liquidity coverage ratio, a credit

institution shall use the market value of its liquid assets. The market

value of liquid assets shall be reduced in accordance with the haircuts

01/01/2022

set out in Chapter 2 of Title Il (The Liquidity Buffer) and with Article

[Note: This rule corresponds to Article 9 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]

Chapter 2 Liquid Assets",12
Article10,"10 Level 1 AssetsLevel 1 assets shall only include assets falling under one or more of the

following categories and meeting in each case the eligibility criteria laid

down herein:

(a) coins and banknotes;

(b) the following exposures to central banks:

(i) assets representing claims on or guaranteed by the Bank of

England 2 —ss—“‘—<“<CO

its central government (if applicable) are assigned a credit

assessment by a nominated external credit assessment

institution (ECAI) which is at least credit quality step 1 in

accordance with Article 114(2) of CRR;

(iii) reserves held by the credit institution in a central bank referred to

in point (i) or (ii) provided that the credit institution is permitted to

withdraw such reserves at any time during stress periods and

that the conditions for such withdrawal have been specified in an

agreement between the competent authority of the credit

institution and the central bank in which the reserves are held, or

in the applicable rules of the third country.

For the purposes of this point, the following shall apply:

— where the reserves are held by a subsidiary credit institution, the

conditions for the withdrawal shall be specified in an agreement

between the United Kingdom or third country competent

in which the reserves are held, or in the applicable rules of the

third country, as applicable;

— where the reserves are held by a branch, the conditions for the

withdrawal shall be specified in an agreement between the

competent authority of the United Kingdom or third country

where the branch is located and the central bank in which the

reserves are held, or in the applicable rules of the third country,

as applicable;

(c) assets representing claims on or guaranteed by the following central

or regional governments, local authorities or public sector entities:

(i) the central government of the United Kingdom;

(ii) the central government of a third country, provided that it is

assigned a credit assessment by a nominated ECAI which is at

least credit quality step 1 in accordance with Article 114(2) of

provided that they are treated as exposures to the central

government of the United Kingdom in accordance with Article115(2) of CRR;

the type referred to in point (ii), provided that they are treated as

exposures to the central government of the third country in

accordance with Article 115(4) of CRR;

(v) public sector entities provided that they are treated as exposures

to the central government of the United Kingdom or to one of

the regional governments or local authorities referred to in point

(iii) in accordance with paragraph 4 of Article 116 of CRR;

(d) the following assets:

(i) assets representing claims on or guaranteed by the central

government or ce try which is not

assigned a credit assessment of credit quality step 1 by a

nominated ECAI in accordance with Article 114(2) of CRR;

ird cou

(ii) reserves held by the credit institution in a central bank referred to

in point (i), provided that the credit institution is permitted to

withdraw those reserves at any time during stress periods and

provided that the conditions for such withdrawal have been

nt

in which the

reserves are held or in the applicable rules of that third country.

specified either in an agreement between the com,

For the purposes of point (ii), the following shall apply:

— where the reserves are held by a subsidiary credit institution, the

conditions for the withdrawal shall be specified either in an

agreement between the third country competent authority of the

subsidiary credit institution and the central bank in which the

reserves are held or in the applicable rules of the third country;

— where the reserves are held by a branch, the conditions for the

withdrawal shall be specified either in an agreement between the

competent authority of the third country where the branch is

located and the central bank in which the reserves are held or in

the applicable rules of the third country.The aggregate amount of assets falling within points (i) and (ii) of the first

subparagraph and denominated in a given currency that the credit

institution may recognise as level 1 assets shall not exceed the

incurred in that same currency.

Moreover, where part or all of the assets falling within points (i) and (ii) of

the first subparagraph are denominated in a currency which is not the

domestic currency of the third country in question, the credit

institution may only recognise those assets as /evel 1 assets up to

to the credit institution's operations in the jurisdiction where the

liquidity risk is being taken;

(e) assets issued by credit institutions which meet at least one of the

following two requirements:

(i) the issuer is a credit institution incorporated or established by the

central government of the United Kingdom or the regional

government or local authority is under the legal obligation to

protect the economic basis of the credit institution and maintain

its financial viability throughout its life-time and any exposure to

that regional government or local authority, as applicable, is

treated as an exposure to the central government of the United

Kingdom in accordance with Article 115(2) of CRR;

(ii) the credit institution is a promotional lender which, for the

purposes of this Article, shall be understood as any credit

institution whose purpose is to advance the public policy

objectives of the central or a regional government of, or a local

authority in, the United Kingdom predominantly through the

provision of promotional loans on a non-competitive, not for profit

basis, provided that at least 90% of the loans that it grants are

directly or indirectly guaranteed by the central or regional

government or local authority and that any exposure to that

regional government or local authority, as applicable, is treated as

an exposure to the government of the United Kingdom in

(f) exposures in the form of extremely high quality covered bonds, which

shall comply with all of the following requirements:

(i) they are CRR covered bonds or meet the requirements to be

eligible for the treatment set out in Article 129(4) or (5) of CRR;

(ii) the exposures to institutions in the cover pool meet the conditions

laid down in Article 129(1)(c) of CRR or, where the competent

in that subparagraph;

(iii) the credit institution investing in the covered bonds and the issuermeet the transparency requirement referred to in Article 129(7) of

(iv) their issue size is at least GBP 440 million (or the equivalent

amount in domestic currency);

(v) the covered bonds are assigned a credit assessment by a

nominated ECAI which is at least credit quality step 1 in

accordance with Article 129(4) of CRR, the equivalent credit

quality step in the event of a short term credit assessment or, in

the absence of a credit assessment, they are assigned a 10%

risk weight in accordance with Article 129(5) of CRR;

meet the claims attaching to the covered bonds;

(g) assets representing claims on or guaranteed by the multilateral

development banks and the international organisations referred to in",13
Article117(2),"117(2) and Article 118, respectively, of CRR.

01/01/2022

01/01/2022

The market value of extremely high quality covered bonds referred to in

raph 1 shall be subject to a haircut of at least 7%.

Except as specified in relation to shares and units in ClUs in points (b)

and (c) of Article 15(2), no haircut shall be required on the value of the

[Note: The rule corresponds to Article 10 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",14
Article11,"11 Level 2A Assets

Level 2A assets shall only include assets falling under one or more of the

following categories and meeting in each case the eligibility criteria laid

down herein:

(a) assets representing claims on or guaranteed by regional

governments, local authorities or public sector entities in the United

20% in accordance with Article 115(1) and (5) and Article 116(1), (2)

and (3) of CRR, as applicable;

(b) assets representing claims on or guaranteed by the central

government or the central bank of a third country or by a regional

government, local authority or public sector entity in a third country,

provided that they are assigned a 20% risk weight in accordance with",15
Articles,"s 114(2), 115 or 116 of CRR, as applicable;

(c) exposures in the form of high quality covered bonds, which shallcomply with all of the following requirements:

(i) they are CRR covered bonds or meet the requirements to be

eligible for the treatment set out in Article 129(4) or (5) of CRR;

(ii) the exposures to institutions in the cover pool meet the conditions

laid down in Article 129(1)(c) of CRR or, where the competent

in that subparagraph;

(iii) the credit institution investing in the covered bonds and the issuer

meet the transparency requirement laid down in Article 129(7) of

(iv) their issue size is at least GBP 220 million (or the equivalent

amount in domestic currency);

(v) the covered bonds are assigned a credit assessment by a

nominated ECAI which is at least credit quality step 2 in

accordance with Article 129(4) of CRR, the equivalent credit

quality step in the event of a short term credit assessment or, in

the absence of a credit assessment, they are assigned a 20%

risk weight in accordance with Article 129(5) of CRR;

meet the claims attaching to the covered bonds. However, where

covered bonds with a credit quality step 1 credit assessment do

not meet the minimum issue size for extremely high quality

covered bonds in accordance with point (f)(iv) of Article 10(1) but

meet the requirements for high quality covered bonds laid down

in points (i), (ii), (iii) and (iv), they shall instead be subject to a

minimum asset coverage requirement of 2%;

(d) exposures in the form of covered bonds issued by credit institutions in

third countries, which shall comply with all of the following

requirements:

(i) they are covered bonds in accordance with the national law of the

third country which must define them as debt securities issued by

credit institutions, or by a wholly owned subsidiary of a credit

institution which guarantees the issue, and secured by a cover

pool of assets, in respect of which bondholders shall have direct

recourse for the repayment of principal and interest on a priority

basis in the event of the issuer's default;

(ii) the issuer and the covered bonds are subject by the national law

in the third country to special public supervision designed to

protect bondholders and the supervisory and regulatory

arrangements applied in the third country must be at least

equivalent to those applied in the United Kingdom;

(iii) the covered bonds are backed by a pool of assets of one or more

of the types described in points (b), (d)(i), (f)(i) or (g) of Article

129(1) of CRR. Where the pool comprises loans secured byimmovable property, the requirements in Articles 208 and 229(1)

of CRR must be met;

(iv) the exposures to institutions in the cover pool meet the conditions

laid down in Article 129(1)(c) of CRR or, where the competent

subparagraph of Article 129(1) of CRR, the conditions referred to

in that subparagraph;

(v) the credit institution investing in the covered bonds and the issuer

meet the transparency requirement laid down in Article 129(7) of

(vi) the covered bonds are assigned a credit assessment by a

nominated ECAI which is at least credit quality step 1 in

accordance with Article 129(4) of CRR, the equivalent credit

quality step in the event of a short term credit assessment or, in

the absence of a credit assessment, they are assigned a 10%

risk weight in accordance with Article 129(5) of CRR; and

meet the claims attaching to the covered bonds. However, where

the issue size of the covered bonds is GBP 440 million (or the

equivalent amount in domestic currency) or higher, they shall

instead be subject to a minimum as

2%;

(e) corporate debt securities which meet all of the following requirements:

(i) they are assigned a credit assessment by a nominated ECAI

which is at least credit quality step 1 in accordance with Article

122 of CRR or the equivalent credit quality step in the event of a

short term credit assessment;

(ii) the securities issue size is at least GBP 220 million (or the

equivalent in domestic currency);

(iii) the maximum time to maturity of the securities at the time of

issuance is 10 years.

01/01/2022

2. The market value of each of the level 2A assets shall be subject to a

haircut of at least 15%.

[Note: This rule corresponds to Article 11 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]

01/01/2022Article 12 Level 2B Assets

Level 2B assets shall only include assets falling under one or more of the

following categories and meeting in each case the eligibility criteria laid

down herein:

(a) exposures in the form of asset-backed securities meeting the

requirements laid down in Article 13;

(b) corporate debt securities which meet all of the following requirements:

(i) they have received a credit assessment by a nominated ECAI

which is at least credit quality step 3 in accordance with Article

122 of CRR or the equivalent credit quality step in the event of a

short term credit assessment;

(ii) the securities issue size is at least GBP 220 million (or the

equivalent in domestic currency);

(iii) the maximum time to maturity of the securities at the time of

issuance is 10 years;

(c) shares, provided that they meet all of the following requirements:

(i) they form part of the Financial Times Stock Exchange 100 (FTSE

100) in the United Kingdom or a major stock index of a third

country composed of leading companies in the relevant

jurisdiction;

(ii) they are denominated in pounds Sterling or, where denominated

in a different currency, they count as level 2B only up to the

amount to cover stressed net liquidity outflows in that currency

or in the jurisdiction where the liquidity risk is taken; and

(iii) they have a proven record as a reliable source of liquidity at all

times, including during stress periods. This requirement shall be

deemed met where the level of decline in the share's stock price

or increase in its haircut during a 30 day calendar day market

stress period did not exceed 40% or 40 percentage points,

respectively;

(d) restricted-use committed liquidity facilities that may be provided by

the Bank of ind or the central of a thi try,

e requirements laid down in

(e) exposures in the form of high quality covered bonds which shall

comply with all of the following requirements:

01/01/2022

(i) they are CRR covered bonds or meet the requirements to be

eligible for the treatment set out in Article 129(4) or (5) of the(ii) the credit institution investing in the covered bonds meets the

transparency requirement laid down in Article 129(7) of the CRR;

(iii) the issuer of the covered bonds makes the information referred to

in Article 129(7)(a) of the CRR available to investors on at least a

quarterly basis;

(iv) their issue size is at least GBP 220 million (or the equivalent

amount in domestic currency);

(v) the covered bonds are collateralised exclusively by the assets

referred to in points (a) and (d)(i) of Article 129(1) of the CRR;

(vi) the pool of underlying assets consists exclusively of exposures

which qualify for a 35% or lower risk weight under Article 125 of

the CRR for credit risk;

meet the claims attaching to the covered bonds;

(viii) the issuing credit institution needs to publicly disclose on a

monthly basis that the cover pool meets the 10% asset

(f) for credit institutions which in accordance with their statutes of

incorporation are unable for reasons of religious observance from

holding interest bearing assets, non-interest bearing assets

constituting a claim on or guaranteed by central banks or by the

central government or the central bank of a third country or by a

regional government, local authority or public sector entity in a third

country, provided that those assets have a credit assessment by a

nominated ECAI of at least credit quality step 5 in accordance with",16
Article114,"114 of CRR, or the equivalent credit-quality step in the event

of a short-term credit assessment.

The market value of each of the level 2B assets shall be subject to the

following minimum haircuts:

01/01/2022

01/01/2022

(a) the applicable haircut set out in Article 13(14) for level 2B

securitisations;

(b) a 50% haircut for corporate debt securities referred to in paragraph

(1)(6);(c) a 50% haircut for shares referred to in paragraph (1)(c);

(d) a 30% haircut for covered bond programmes or issues referred to in

paragraph (1)(e);

(e) a 50% haircut for non-interest bearing assets referred to in

paragraph (1)(f).

For credit institutions which in accordance with their statutes of

incorporation are unable for reasons of religious observance to hold

interest bearing assets, the credit institution may apply for permission

from the competent authority to derogate from points (ii) and (iii) of

availability of non-interest bearing assets meeting these requirements

and the non-interest bearing assets in question are adequately liquid in

private markets.

[Note: This is a permission under section 144G of FSMA to which Part 8

[Note: This rule corresponds to Article 12 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",17
Article13,"13 Level 2B Securitisations

Exposures in the form of asset-backed securities as referred to in Article

conditions are satisfied:

(a) the designation ‘STS’ or ‘simple, transparent and standardised’, or a

designation that refers directly or indirectly to those terms, is

permitted to be used for the securitisation in accordance with

regulation 12 of the Securitisation Regulations 2024 (SI 2024/102)

and is being so used;",18
Articleare,"are met.

01/11/2024

The securitisation position and the exposures underlying the position

shall meet all the following requirements:

(a) the position has been assigned a credit assessment of credit quality

step 1 by a nominated ECAI in accordance with Article 264 of CRR or

the equivalent credit quality step in the event of a short-term credit

assessment;

(b) the position is in the most senior tranche or tranches of the

securitisation and possesses the highest level of seniority at all times

during the ongoing life of the transaction. For these purposes, a

tranche shall be deemed to be the most senior where after thedelivery of an enforcement notice and where applicable an

acceleration notice, the tranche is not subordinated to other tranches

of the same securitisation transaction or scheme in respect of

receiving principal and interest payments, without taking into account

amounts due under interest rate or currency derivative contracts,

(g) the securitisation position is backed by a pool of underlying exposures

and those underlying exposures either all belong to only one of the

following subcategories or else they consist of a combination of

residential loans referred to in point (i):

(i) residential loans secured with a first-ranking mortgage granted to

individuals for the acquisition of their main residence, provided

that one of the two following conditions is met:

— the loans in the pool meet on average the loan-to-value

requirement laid down in point (i) of Article 129(1)(d) of CRR;

— the national law of the jurisdiction where the loans were

originated provides for a loan-to-income limit on the amount

that an obligor may borrow in a residential loan. The loan-to-

income limit is calculated on the gross annual income of the

obligor, taking into account the tax obligations and other

commitments of the obligor and the risk of changes in the

interest rates over the term of the loan. For each residential

loan in the pool, the percentage of the obligor's gross income

that may be spent to service the loan, including interest,

principal and fee payments, does not exceed 45%;

01/01/2022

(iii) commercial loans, leases and credit facilities to undertakings

established in the Uni

expenditures or business operations other than the acquisition or

development of commercial real estate, provided that at least

80% of the borrowers in the pool in terms of portfolio balance are

small and medium-sized enterprises at the time of issuance of the

securitisation, and none of the borrowers is an institution as

defined in Article 4(1)(3) of CRR;

(iv) auto loans and leases to borrowers or lessees established or

resident in the United Kingdom. For these purposes, auto loans

and leases shall include loans or leases for the financing of motor

vehicles or trailers as defined in provisions implementing points

(11) and (12) of Article 3 of Directive 2007/46/EC of the European

Parliament and of the Council, tractors as defined in point (8) of",19
Article3,"3 of Regulation (EU) No 167/2013 of the European

Parliament and of the Council (as it had effect immediately before

exit day), powered two-wheelers or powered tricycles as defined

in points (68) and (69) of Article 3 of Regulation (EU) No168/2013 of the European Parliament and of the Council (as it

had effect immediately before exit day) or tracked vehicles as

referred to in provisions implementing point (c) of Article 2(2) of

Directive 2007/46/EC. Such loans or leases may include ancillary

insurance and service products or additional vehicle parts, and in

the case of leases, the residual value of leased vehicles. All loans

and leases in the pool shall be secured with a first-ranking charge

or security over the vehicle or an appropriate guarantee in favour

of the SSPE, such as a retention of title provision;

(v) loans and credit facilities to individuals resident in the United

Kingdom for personal, family or household consumption

purposes.

The underlying exposures shall not have been originated by the credit

institution holding the securitisation position in its liquidity buffer, its

subsidiary, its parent undertaking, a subsidiary of its parent undertaking

or any other undertaking closely linked with that credit institution.

01/01/2022

01/01/2022

01/01/2022

01/01/2022

14.

01/01/2022

The issue size of the tranche shall be at least GBP 88 million (or the

equivalent amount in domestic currency).

The remaining weighted average life of the tranche shall be 5 years or

less, which shall be calculated using the lower of either the transaction's

pricing prepayment assumption or a 20% constant prepayment rate, for

which the credit institution shall assume that the call is exercised on the

first permitted call date.

The originator of the exposures underlying the securitisation shall be an

institution as defined in Article 4(3) of CRR or an undertaking whose

principal activity is to pursue one or more of the activities listed in points

2 to 12 and point 15 of Annex | to Directive 2013/36/EU, as that Directive

has effect immediately before exit day, provided that for the purposes of

this paragraph the reference in point 4 of Annex 1 to that Directive to

point (3) of Article 4 of Directive (EU) 2015/2366 is to be read as areference to regulation 2 of the Payment Services Regulations 2017.

The market value of level 2B securitisations shall be subject to the

following minimum haircuts:

(a) 25% for securitisations backed by the subcategories of assets

referred to in points (g)(i)and (iv) of paragraph 2;

(b) 35% for securitisations backed by the subcategories of assets

referred to in points (g)(iii) and (v) of paragraph 2.

[Note: This rule corresponds to Article 13 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",20
